Elements, fc_18_0, fc_18_1, fcio_18_0, fcio_18_1, wn_18_0, wn_18_1,wnio_18_0, wnio_18_1,mpi_n2_18_0,mpi_n2_18_1,mpi_n4_18_0,mpi_n4_18_1
102045,1.344416,1.409527,1.209027,1.441607,2.282891,2.274363,2.138473,2.234959,2.807998,2.976029,1.572752,1.674345
102045,1.3443,1.409495,1.208692,1.441588,2.28283,2.274357,2.138154,2.234022,2.807922,2.976413,1.572208,1.673974
102045,1.344163,1.409613,1.209053,1.4407,2.282796,2.28739,2.137829,2.234004,2.809044,2.97723,1.572393,1.673942
102045,1.344098,1.409714,1.209024,1.440838,2.282903,2.274341,2.137974,2.234285,2.808543,2.97718,1.572643,1.674725
102045,1.344091,1.409595,1.209382,1.440596,2.283093,2.274488,2.138314,2.235226,2.808018,2.976814,1.572679,1.673738
102045,1.344466,1.409546,1.208524,1.440639,2.283099,2.274544,2.137578,2.233929,2.807886,2.976962,1.572217,1.674306
102045,1.349796,1.409633,1.209032,1.440723,2.283118,2.286194,2.136639,2.23452,2.807948,2.977457,1.574682,1.674815
102045,1.344352,1.409646,1.208732,1.440655,2.283137,2.274352,2.137152,2.234295,2.808167,2.977777,1.573022,1.674956
102045,1.344438,1.409619,1.20899,1.441641,2.283027,2.274558,2.137714,2.234198,2.808626,2.976362,1.572313,1.674475
102045,1.344106,1.409611,1.20886,1.441739,2.282951,2.274299,2.137902,2.234114,2.808151,2.976754,1.572568,1.674417
102045,1.344339,1.409667,1.208953,1.441775,2.283081,2.285992,2.138439,2.234862,2.808052,2.976522,1.573143,1.674049
102045,1.343951,1.409508,1.209184,1.440808,2.282888,2.274933,2.138033,2.234535,2.80788,2.977298,1.573454,1.673898
102045,1.344525,1.409607,1.209096,1.440519,2.282915,2.274917,2.137898,2.234261,2.808261,2.976373,1.573064,1.674103
10420,0.248381,0.255781,0.215122,0.238721,0.331643,0.331753,0.305337,0.319533,0.41469,0.434635,0.290166,0.297802
10420,0.249964,0.255921,0.214055,0.238364,0.331669,0.331298,0.304606,0.317708,0.415011,0.434624,0.285737,0.297486
10420,0.248489,0.255801,0.214294,0.239578,0.331613,0.331455,0.305165,0.318913,0.414739,0.435694,0.284861,0.29856
10420,0.24927,0.255803,0.215027,0.238663,0.331717,0.331281,0.305649,0.319172,0.414482,0.434333,0.285699,0.297857
10420,0.248469,0.25588,0.214063,0.238481,0.332045,0.331267,0.30367,0.318286,0.413421,0.433908,0.28412,0.297826
10420,0.248488,0.255946,0.213927,0.237514,0.331652,0.331258,0.304159,0.317689,0.414464,0.433556,0.285867,0.297961
10420,0.248606,0.255869,0.214098,0.239113,0.331626,0.331312,0.303997,0.318572,0.414486,0.434613,0.284141,0.297583
10420,0.248357,0.255798,0.214117,0.238568,0.331581,0.331259,0.304047,0.318364,0.414405,0.433321,0.285563,0.29777
10420,0.248389,0.255911,0.213915,0.240938,0.331626,0.331282,0.303973,0.318828,0.414497,0.434368,0.284225,0.297863
10420,0.248319,0.255929,0.21396,0.238627,0.331665,0.331297,0.304165,0.318827,0.414406,0.433698,0.285755,0.297941
10420,0.248509,0.25582,0.214076,0.238277,0.331652,0.331289,0.304031,0.318811,0.414814,0.434076,0.284338,0.297796
